0006;0006;PSC                                                    ;PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE)                                                                                                                                                         ;
0010;0010;ERC                                                    ;ESQUERRA REPUBLICANA DE CATALUNYA                                                                                                                                                                       ;
0086;0086;PP                                                     ;PARTIT POPULAR/PARTIDO POPULAR                                                                                                                                                                          ;
0301;0301;Cs                                                     ;CIUTADANS - PARTIDO DE LA CIUDADANÍA                                                                                                                                                                    ;
0350;0350;PUM+J                                                  ;PER UN MÓN MÉS JUST                                                                                                                                                                                     ;
0546;0546;FNC                                                    ;FRONT NACIONAL DE CATALUNYA                                                                                                                                                                             ;
0643;0643;EB                                                     ;ESCONS EN BLANC (ESCAÑOS EN BLANCO)                                                                                                                                                                     ;
0693;0693;VOX                                                    ;VOX                                                                                                                                                                                                     ;
1034;1034;PCTC                                                   ;PARTIT COMUNISTA DELS TREBALLADORS DE CATALUNYA                                                                                                                                                         ;
1035;1035;IZQP                                                   ;IZQUIERDA EN POSITIVO                                                                                                                                                                                   ;
1083;1083;JxCat                                                  ;JUNTS PER CATALUNYA                                                                                                                                                                                     ;
1095;1095;M.C.R.                                                 ;MOVIMENT CORRENT ROIG                                                                                                                                                                                   ;
1097;1097;PDeCAT                                                 ;PARTIT DEMÒCRATA EUROPEU CATALÀ                                                                                                                                                                         ;
1098;1098;CUP-G                                                  ;CANDIDATURA D'UNITAT POPULAR-UN NOU CICLE PER GUANYAR                                                                                                                                                   ;
1099;1099;ECP-PEC                                                ;EN COMÚ PODEM-PODEM EN COMÚ                                                                                                                                                                             ;
1100;1100;UNIDOS SI - DEf - PDSJE - SOMOS ESPAÑA                 ;UNIDOS POR LA DEMOCRACIA + JUBILADOS                                                                                                                                                                    ;
1101;1101;MPIC                                                   ;MOVIMENT PRIMÀRIES PER LA INDEPENDÈNCIA DE CATALUNYA                                                                                                                                                    ;
1102;1102;PNC                                                    ;PARTIT NACIONALISTA DE CATALUNYA                                                                                                                                                                        ;
1103;1103;RECORTES CERO-GV-M                                     ;RECORTES CERO-GRUP VERD-MUNICIPALISTES                                                                                                                                                                  ;
1104;1104;UEP                                                    ;UNIÓN EUROPEA DE PENSIONISTAS                                                                                                                                                                           ;
1105;1105;ALIANZA C V                                            ;ALIANZA POR EL COMERCIO Y LA VIVIENDA                                                                                                                                                                   ;
1106;1106;SCAT                                                   ;SUPORT CIVIL CATALÀ                                                                                                                                                                                     ;
1108;1108;SOM TERRES DE L'EBRE                                   ;SOM TERRES DE L'EBRE                                                                                                                                                                                    ;
